"price","brand","mileage"
8400,"dodge",107822
19500,"dodge",10221
7000,"dodge",95278
19500,"dodge",13457
8500,"dodge",69936
20500,"dodge",13520
4900,"dodge",96922
20800,"dodge",72594
28500,"dodge",17896
21900,"dodge",11088
15800,"dodge",29567
33000,"dodge",15655
22700,"dodge",26428
21900,"dodge",29003
19300,"dodge",32229
30700,"dodge",26503
19300,"dodge",15446
13750,"dodge",128556
16400,"dodge",23369
19500,"dodge",8767
15100,"dodge",48319
28500,"dodge",15275
15300,"dodge",33826
20300,"dodge",16679
22000,"dodge",26184
16700,"dodge",21203
19300,"dodge",17870
34100,"dodge",17909
14600,"dodge",41126
18200,"dodge",14098
33800,"dodge",15003
15900,"dodge",29105
16500,"dodge",34794
29600,"dodge",20034
14100,"dodge",46942
18200,"dodge",14753
18200,"dodge",14359
24300,"dodge",34922
15400,"dodge",20944
19000,"dodge",9877
19000,"dodge",8949
27800,"dodge",13627
18200,"dodge",18291
15000,"dodge",38029
19200,"dodge",32593
15500,"dodge",37352
24900,"dodge",23030
15500,"dodge",30671
7600,"dodge",79544
18400,"dodge",15027
14700,"dodge",29115
3900,"dodge",93604
5200,"dodge",100203
17200,"dodge",35401
18700,"dodge",20279
32000,"dodge",26090
14500,"dodge",107924
19400,"dodge",14906
17300,"dodge",34407
16700,"dodge",18049
19100,"dodge",18132
11100,"dodge",109176
32000,"dodge",25456
16900,"dodge",38375
18000,"dodge",39792
17800,"dodge",30403
18000,"dodge",28252
17500,"dodge",31904
14500,"dodge",24336
18500,"dodge",23961
18600,"dodge",22919
32000,"dodge",22863
17000,"dodge",38817
16000,"dodge",48854
18000,"dodge",27288
15900,"dodge",5284
6200,"dodge",99988
3700,"dodge",84109
24000,"dodge",88539
20800,"dodge",33739
18500,"dodge",101017
18300,"dodge",13906
21000,"dodge",20601
1300,"dodge",135561
11900,"dodge",23421
950,"dodge",145174
26800,"dodge",21309
800,"dodge",217576
21000,"dodge",10350
1900,"dodge",157636
